timestamp,power,power_smooth,power_smooth_quant,power_segment,is_weekend,hour,is_workhour,is_holiday,rule_valid,time_diff_min,missing_data_flag,is_anomaly,was_nan
2025-05-18T06:00:00,92.63,87.82,90.0,50.0,True,6,False,False,False,15,False,True,False
2025-05-18T06:15:00,87.5,90.15,80.0,50.0,True,6,False,False,False,15,False,True,False
2025-05-18T06:30:00,92.71,90.94,90.0,50.0,True,6,False,False,False,15,False,True,False
2025-05-18T06:45:00,81.11,84.35,80.0,50.0,True,6,False,False,False,15,False,True,False
2025-05-18T07:00:00,82.86,79.49,80.0,50.0,True,7,False,False,False,15,False,True,False
2025-05-18T07:15:00,100.07,96.47,100.0,100.0,True,7,False,False,False,15,False,True,False
2025-05-18T07:30:00,118.63,122.96,110.0,100.0,True,7,False,False,False,15,False,True,False
2025-05-18T07:45:00,94.0,89.49,90.0,50.0,True,7,False,False,False,15,False,True,False
2025-05-18T08:00:00,72.08,76.29,70.0,50.0,True,8,True,False,False,15,False,True,False
2025-05-18T08:15:00,65.82,62.86,60.0,50.0,True,8,True,False,False,15,False,True,False
2025-05-18T08:30:00,50.65,46.42,50.0,50.0,True,8,True,False,False,15,False,True,False
2025-05-18T08:45:00,85.29,83.36,80.0,50.0,True,8,True,False,False,15,False,True,False
2025-05-18T09:00:00,77.33,82.19,70.0,50.0,True,9,True,False,False,15,False,True,False
2025-05-18T09:15:00,61.79,64.24,60.0,50.0,True,9,True,False,False,15,False,True,False
2025-05-18T09:30:00,51.74,56.42,50.0,50.0,True,9,True,False,False,15,False,True,False
2025-05-18T09:45:00,115.55,115.32,110.0,100.0,True,9,True,False,False,15,False,True,False
2025-05-18T10:00:00,115.83,114.27,110.0,100.0,True,10,True,False,False,15,False,True,False
2025-05-18T10:15:00,78.6,76.07,70.0,50.0,True,10,True,False,False,15,False,True,False
2025-05-18T10:30:00,73.46,75.56,70.0,50.0,True,10,True,False,False,15,False,True,False
2025-05-18T10:45:00,115.3,115.1,110.0,100.0,True,10,True,False,False,15,False,True,False
2025-05-18T11:00:00,99.11,98.48,90.0,50.0,True,11,True,False,False,15,False,True,False
2025-05-18T11:15:00,57.53,61.16,50.0,50.0,True,11,True,False,False,15,False,True,False
2025-05-18T11:30:00,54.41,54.61,50.0,50.0,True,11,True,False,False,15,False,True,False
2025-05-18T11:45:00,70.96,71.25,70.0,50.0,True,11,True,False,False,15,False,True,False
2025-05-18T12:00:00,111.53,110.73,110.0,100.0,True,12,True,False,False,15,False,True,False
2025-05-18T12:15:00,113.94,109.27,110.0,100.0,True,12,True,False,False,15,False,True,False
2025-05-18T12:30:00,100.27,104.54,100.0,100.0,True,12,True,False,False,15,False,True,False
2025-05-18T12:45:00,118.97,115.29,110.0,100.0,True,12,True,False,False,15,False,True,False
2025-05-18T13:00:00,116.63,112.7,110.0,100.0,True,13,True,False,False,15,False,True,False
2025-05-18T13:15:00,119.39,116.75,110.0,100.0,True,13,True,False,False,15,False,True,False
2025-05-18T13:30:00,51.1,54.57,50.0,50.0,True,13,True,False,False,15,False,True,False
2025-05-18T13:45:00,58.59,55.32,50.0,50.0,True,13,True,False,False,15,False,True,False
2025-05-18T14:00:00,82.7,87.32,80.0,50.0,True,14,True,False,False,15,False,True,False
2025-05-18T14:15:00,109.75,105.33,100.0,100.0,True,14,True,False,False,15,False,True,False
2025-05-18T14:30:00,102.08,102.89,100.0,100.0,True,14,True,False,False,15,False,True,False
2025-05-18T14:45:00,52.82,51.08,50.0,50.0,True,14,True,False,False,15,False,True,False
2025-05-18T15:00:00,61.01,60.57,60.0,50.0,True,15,True,False,False,15,False,True,False
2025-05-18T15:15:00,56.68,57.95,50.0,50.0,True,15,True,False,False,15,False,True,False
2025-05-18T15:30:00,107.47,107.89,100.0,100.0,True,15,True,False,False,15,False,True,False
2025-05-18T15:45:00,85.83,82.49,80.0,50.0,True,15,True,False,False,15,False,True,False
2025-05-18T16:00:00,73.94,73.65,70.0,50.0,True,16,True,False,False,15,False,True,False
2025-05-18T16:15:00,111.4,106.7,110.0,100.0,True,16,True,False,False,15,False,True,False
2025-05-18T16:30:00,84.37,87.34,80.0,50.0,True,16,True,False,False,15,False,True,False
2025-05-18T16:45:00,75.23,72.87,70.0,50.0,True,16,True,False,False,15,False,True,False
2025-05-18T17:00:00,60.16,59.86,60.0,50.0,True,17,False,False,False,15,False,True,False
2025-05-18T17:15:00,95.25,96.21,90.0,50.0,True,17,False,False,False,15,False,True,False
2025-05-18T17:30:00,63.56,58.83,60.0,50.0,True,17,False,False,False,15,False,True,False
2025-05-18T17:45:00,90.97,88.95,90.0,50.0,True,17,False,False,False,15,False,True,False
2025-05-18T18:00:00,116.61,112.87,110.0,100.0,True,18,False,False,False,15,False,True,False
2025-05-18T18:15:00,92.23,87.61,90.0,50.0,True,18,False,False,False,15,False,True,False
2025-05-18T18:30:00,82.15,82.42,80.0,50.0,True,18,False,False,False,15,False,True,False
2025-05-18T18:45:00,116.48,113.78,110.0,100.0,True,18,False,False,False,15,False,True,False
2025-05-19T06:00:00,125.4,130.32,120.0,100.0,False,6,False,False,False,15,False,True,False
2025-05-19T06:15:00,158.98,156.04,150.0,150.0,False,6,False,False,False,15,False,True,False
2025-05-19T06:30:00,114.78,117.28,110.0,100.0,False,6,False,False,False,15,False,True,False
2025-05-19T06:45:00,113.41,114.92,110.0,100.0,False,6,False,False,False,15,False,True,False
2025-05-19T07:00:00,142.39,146.43,140.0,100.0,False,7,False,False,False,15,False,True,False
2025-05-19T07:15:00,156.14,153.23,150.0,150.0,False,7,False,False,False,15,False,True,False
2025-05-19T07:30:00,152.42,147.84,150.0,150.0,False,7,False,False,False,15,False,True,False
2025-05-19T07:45:00,158.75,154.88,150.0,150.0,False,7,False,False,False,15,False,True,False
2025-05-19T08:00:00,199.96,198.72,190.0,150.0,False,8,True,False,True,15,False,False,False
2025-05-19T08:15:00,239.17,243.72,230.0,200.0,False,8,True,False,True,15,False,True,False
2025-05-19T08:30:00,201.41,198.51,200.0,200.0,False,8,True,False,True,15,False,False,False
2025-05-19T08:45:00,220.18,217.72,220.0,200.0,False,8,True,False,True,15,False,True,False
2025-05-19T09:00:00,211.5,215.01,210.0,200.0,False,9,True,False,True,15,False,False,False
2025-05-19T09:15:00,211.45,213.86,210.0,200.0,False,9,True,False,True,15,False,False,False
2025-05-19T09:30:00,212.77,208.37,210.0,200.0,False,9,True,False,True,15,False,True,False
2025-05-19T09:45:00,231.55,233.19,230.0,200.0,False,9,True,False,True,15,False,True,False
2025-05-19T10:00:00,184.83,184.42,180.0,150.0,False,10,True,False,True,15,False,True,False
2025-05-19T10:15:00,233.26,233.34,230.0,200.0,False,10,True,False,True,15,False,True,False
2025-05-19T10:30:00,185.16,187.25,180.0,150.0,False,10,True,False,True,15,False,True,False
2025-05-19T10:45:00,248.7,244.22,240.0,200.0,False,10,True,False,True,15,False,True,False
2025-05-19T11:00:00,257.31,260.6,250.0,250.0,False,11,True,False,True,15,False,False,False
2025-05-19T11:15:00,182.92,180.68,180.0,150.0,False,11,True,False,True,15,False,True,False
2025-05-19T11:30:00,251.97,256.49,250.0,250.0,False,11,True,False,True,15,False,True,False
2025-05-19T11:45:00,232.11,232.79,230.0,200.0,False,11,True,False,True,15,False,True,False
2025-05-19T12:00:00,249.35,250.98,240.0,200.0,False,12,True,False,True,15,False,True,False
2025-05-19T12:15:00,239.29,243.8,230.0,200.0,False,12,True,False,True,15,False,True,False
2025-05-19T12:30:00,196.28,198.28,190.0,150.0,False,12,True,False,True,15,False,True,False
2025-05-19T12:45:00,224.08,224.25,220.0,200.0,False,12,True,False,True,15,False,True,False
